bin,TP,FN,FP,TN,precision,recall,FPR,bin_mean,bin_min,bin_max,bin_size,experiment,k,l,s,confidence_level,masking,classifier
2,60614170,6052500,49590,66617080,0.9991825432515228,0.9092125045393749,0.0007438499628075019,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
3,43455834,9877502,49590,66617080,0.998860142128485,0.8147968467601576,0.0007438499628075019,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
4,38971079,14362257,49590,66617080,0.9987291350642912,0.7307076947146153,0.0007438499628075019,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
5,13795886,39537450,49590,66617080,0.9964183246570938,0.2586728495663575,0.0007438499628075019,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
6,8262783,65070554,49590,66617080,0.994034194567544,0.11267430800264824,0.0007438499628075019,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
7,2100833,37899169,49590,66617080,0.9769394207558234,0.05252082237395888,0.0007438499628075019,0.17552316666666667,0.156619,0.197292,6,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
8,1655383,71677954,49590,66617080,0.970914495420162,0.022573403416784373,0.0007438499628075019,0.22937800000000003,0.210897,0.243761,11,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
9,870547,139129460,49590,66617080,0.9461058516286162,0.00621819254623323,0.0007438499628075019,0.7286633333333332,0.263022,1.0,21,variable_conf,28,28,6,0.3,unmasked,k=28 conf=0.3
0,66666292,378,66658356,8314,0.5000297619386926,0.9999943300002836,0.9998752900062357,0.0,0.0,0.0,10,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
1,113216116,117223,66658356,8314,0.6294173639047569,0.9989656794634808,0.9998752900062357,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
2,66349156,317514,66658356,8314,0.4988376596353445,0.9952372902381356,0.9998752900062357,0.01330993,0.0101878,0.0177122,10,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
3,53133872,199464,66658356,8314,0.4435502443447333,0.9962600501869976,0.9998752900062357,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
4,52465196,868140,66658356,8314,0.4404267260264368,0.9837223758138812,0.9998752900062357,0.037567175,0.030677,0.0494626,8,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
5,52722174,611162,66658356,8314,0.4416312609769784,0.9885407130729644,0.9998752900062357,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
6,72542297,791040,66658356,8314,0.5211347464009383,0.9892130914484364,0.9998752900062357,0.12374136363636362,0.109331,0.145727,11,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
7,39849877,150125,66658356,8314,0.3741483252285295,0.9962468751876562,0.9998752900062357,0.17552316666666667,0.156619,0.197292,6,variable_conf,23,23,5,0.05,unmasked,k=23 conf=0.05
