s2,s1,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned,C_sequences_prct.y,C_sequences_prct.x,j_bk,wp_bk,zp_bk,d_bk,j_ucseq_ak,wp_ucseq_ak,zp_ucseq_ak,d_ucseq_ak,j_cseq_ak,wp_cseq_ak,zp_cseq_ak,d_cseq_ak
Drosophila_eugracilis,Drosophila_yakuba,0.095903834,0.092839024,0.09581027,0.092806943,0.095776827,9.07,5.91,0.0069233,12940628.83,91903038.59,0.092806943,0.0061548,11717670.89,84496119.67,0.095776827,0.006675005,731330.2481,8087765.459,0.080829576
Drosophila_mauritiana,Drosophila_ananassae,0.121489162,0.121948746,0.12351337,0.121931767,0.123483925,6.61,12.18,0.0027113,12984327.9,85269562.18,0.121931767,0.0023829,10981197.28,77648660.41,0.123483925,0.003232558,1157186.898,8003581.29,0.115474209
Drosophila_mauritiana,Drosophila_biarmipes,0.096407612,0.095594348,0.09695515,0.095575777,0.096938133,6.61,5.74,0.0068611,14518510.04,94631475.23,0.095575777,0.006475,13418553.45,88412065.9,0.096938133,0.004082876,653870.5249,6903699.642,0.096566171
Drosophila_mauritiana,Drosophila_bipectinata,0.119579046,0.102953921,0.119867207,0.102908372,0.119826154,6.61,10.4,0.0050493,13522620.3,92887647.76,0.102908372,0.0027293,12055455.05,84710703.22,0.119826154,0.024165097,957378.9929,8839624.779,0.047970081
Drosophila_mauritiana,Drosophila_erecta,0.062564954,0.061212016,0.062222534,0.061194071,0.062201377,6.61,6.03,0.0240917,15574540.93,93483979.37,0.061194071,0.022987,14353199.53,87243656.26,0.062201377,0.010941955,719497.3054,7043893.192,0.069849338
Drosophila_mauritiana,Drosophila_eugracilis,0.092905308,0.086369863,0.092466564,0.086345212,0.092451393,6.61,9.07,0.0089603,13536417.59,92747334,0.086345212,0.0071693,12240978.87,84997980.75,0.092451393,0.018618888,805856.8833,8461810.334,0.051852899
Drosophila_mauritiana,Drosophila_mauritiana,0,0,0,0,0,6.61,6.61,,,,,,,,,,,,
Drosophila_mauritiana,Drosophila_mojavensis,0.147289795,0.152676673,0.164637723,0.152722424,0.164707725,6.61,14.44,0.0009121,14519434.55,93562167.17,0.152722424,0.0005743,12602348.19,82899977.09,0.164707725,0.0023345,1128307.592,11857025.82,0.112795919
Drosophila_mauritiana,Drosophila_persimilis,0.134057404,0.115877635,0.137933265,0.115850698,0.137935089,6.61,9.04,0.0033124,13656054.47,90972996.77,0.115850698,0.0014976,12406628.66,83300359.14,0.137935089,0.018406199,771765.2715,8405949.025,0.051078098
Drosophila_mauritiana,Drosophila_pseudoobscura,0.134056447,0.125240823,0.133921958,0.125224571,0.133920111,6.61,8.14,0.0024471,14048018.51,90953345.31,0.125224571,0.0017745,12791562.56,83736372.63,0.133920111,0.006687579,735637.2633,8007541.995,0.081243735
Drosophila_mauritiana,Drosophila_sechellia,0.022145109,0.019885632,0.02009631,0.01986863,0.020084089,6.61,6.95,0.0921624,14182994.31,90222393.92,0.01986863,0.0905734,13042162.42,83725341.26,0.020084089,0.048883407,706171.2084,7150144.654,0.023935136
Drosophila_mauritiana,Drosophila_simulans,0.018586115,0.016325541,0.016358236,0.016309439,0.01634151,6.61,5.48,0.1102353,14961017.41,90504276.29,0.016309439,0.1085434,13825944.19,84726401.62,0.01634151,0.046535122,669974.4103,6514676.164,0.026684584
Drosophila_mauritiana,Drosophila_virilis,0.161165521,0.103313212,0.162733728,0.103266784,0.162692534,6.61,15.04,0.0047557,11624218.63,83708732,0.103266784,0.0005393,9895607.699,74693028.52,0.162692534,0.037226035,1006193.025,9694817.71,0.033674136
Drosophila_mauritiana,Drosophila_willistoni,0.158425779,0.137595617,0.155074982,0.137553788,0.155039866,6.61,11,0.001384,11641375.04,85735645.99,0.137553788,0.0007393,10631824.88,77630226.98,0.155039866,0.006219861,657083.4974,8753036.455,0.077385676
Drosophila_mauritiana,Drosophila_yakuba,0.063356058,0.060792451,0.061946428,0.06076964,0.061922432,6.61,5.91,0.0233257,14340684.48,90091718.16,0.06076964,0.0222029,13244839.34,84057288.1,0.061922432,0.012401554,639261.2599,6723107.32,0.063967764
Drosophila_mojavensis,Drosophila_ananassae,0.165416263,0.162329554,0.167537012,0.162290863,0.16750588,14.44,12.18,0.0005972,12703909.53,87895715.78,0.162290863,0.0004446,9924611.639,75989488.32,0.16750588,0.0009419,2247936.648,12763454.91,0.155299825
Drosophila_mojavensis,Drosophila_biarmipes,0.165539067,0.15994948,0.165912779,0.159902158,0.165871846,14.44,5.74,0.0006541,14094767.05,97257628.82,0.159902158,0.0005101,12232117.17,86752893.81,0.165871846,0.0010594,1107999.308,11663573.27,0.135039004
Drosophila_mojavensis,Drosophila_bipectinata,0.154086953,0.151301274,0.166799345,0.151246047,0.166745745,14.44,10.4,0.0008544,13155893.62,95513801.36,0.151246047,0.0004614,10942615.74,83051531.13,0.166745745,0.0025921,1543534.955,13599498.4,0.114849289
Drosophila_mojavensis,Drosophila_erecta,0.163164564,0.159193315,0.166762935,0.159209875,0.166797763,14.44,6.03,0.000727,15089411.56,96110132.97,0.159209875,0.0005362,13128823.06,85584484.17,0.166797763,0.0011966,1187644.95,11803766.82,0.133246506
Drosophila_mojavensis,Drosophila_eugracilis,0.163035742,0.150699187,0.163678985,0.150724068,0.16366797,14.44,9.07,0.0008708,13135746.18,95373487.59,0.150724068,0.0005256,11156650.03,83338808.66,0.16366797,0.0022918,1225398.517,13221683.96,0.112567715
Drosophila_mojavensis,Drosophila_mauritiana,0.147289795,0.152676673,0.164637723,0.152722424,0.164707725,14.44,6.61,0.0009121,14519434.55,93562167.17,0.152722424,0.0005743,12602348.19,82899977.09,0.164707725,0.0023345,1128307.592,11857025.82,0.112795919
Drosophila_mojavensis,Drosophila_mojavensis,0,0,0,0,0,14.44,14.44,,,,,,,,,,,,
Drosophila_mojavensis,Drosophila_persimilis,0.159878892,0.133126654,0.139467096,0.133140351,0.139498468,14.44,9.04,0.0016933,13269624.38,93599150.36,0.133140351,0.0013128,11278128.29,81641187.05,0.139498468,0.002858,1152415.639,13165822.65,0.104591231
Drosophila_mojavensis,Drosophila_pseudoobscura,0.159951896,0.139940082,0.144446349,0.139941144,0.14445506,14.44,8.14,0.001363,13636775.69,93579498.91,0.139941144,0.0011279,11654024.52,82077200.54,0.14445506,0.0018401,1120140.854,12767415.62,0.117256304
